,Title,Author,Publisher,Published_date,Origin,Review_score,Review_number,Fixed_price,Selling_price,ISBN13,ISBN10,Yes24_sales_index,Final_genre_name
1,김미경의 마흔 수업,김미경,어웨이크북스,2023-02-15,,10.0,25,"18,000원","16,200",9791198013026,1198013028,304314,처세술/삶의 자세
2,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,이노우에 타케히코,대원,2023-02-16,THE FIRST SLAM DUNK re:SOURCE ,9.5,25,"20,000원","18,000",9791169794930,1169794939,314799,스포츠
3,K 배터리 레볼루션,박순혁,지와인,2023-02-20,,10.0,3,"19,000원","17,100",9791191521221,1191521222,222228,경제전망
4,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),김혜남,메이븐,2022-11-11,,9.6,71,"17,200원","15,480",9791190538510,1190538512,693630,노년 / 죽음
5,주식 시세의 비밀,정재호,프런트페이지,2023-02-20,,10.0,2,"22,000원","19,800",9791197871269,1197871268,180297,주식/증권
6,1퍼센트 부자의 법칙,사이토 히토리,나비스쿨(NAVI SCHOOL),2023-01-30,,10.0,3,"17,000원","15,300",9791197389450,1197389458,121959,처세술/삶의 자세
7,악인론,손수현,다산북스,2023-02-20,,10.0,12,"18,500원","16,650",9791130697499,1130697495,70230,성공학/경력관리
8,불편한 편의점,김호연,나무옆의자,2021-04-20,,9.2,421,"14,000원","12,600",9791161571188,1161571183,1175697,한국 장편소설
9,불편한 편의점 2,김호연,나무옆의자,2022-08-10,,9.3,119,"14,000원","12,600",9791161571379,116157137X,751575,한국 장편소설
10,정세현의 통찰,정세현,푸른숲,2023-02-16,,10.0,3,"19,000원","17,100",9791156754039,1156754038,160152,정치/외교학 일반
11,세이노의 가르침,세이노,데이원,2023-03-02,,9.4,10,"7,200원","6,480",9791168473690,1168473691,333843,처세술/삶의 자세
12,원씽 THE ONE THING,게리 켈러,비즈니스북스,2013-08-30,The One Thing,8.8,157,"14,000원","12,600",9788997575169,8997575163,483786,처세술/삶의 자세
13,챗GPT,반병현,생능북스,2023-02-15,,9.3,17,"13,000원","11,700",9791192932057,1192932056,79053,경영전략/경영혁신
14,역행자,자청,웅진지식하우스,2022-05-30,,9.3,343,"17,500원","15,750",9788901260716,8901260719,836943,성공학/경력관리
15,5천만 원으로 시작하는 미라클 기적의 재개발 재건축,장미진,리더스북,2023-02-24,,7.4,3,"20,000원","18,000",9788901268880,8901268884,47664,부동산/경매
16,당신도 느리게 나이 들 수 있습니다,정희원,더퀘스트,2023-01-17,,9.7,59,"17,800원","16,020",9791140702589,1140702580,145761,교양으로 읽는 인문
17,아버지의 해방일지,정지아,창비,2022-09-02,,9.7,198,"15,000원","13,500",9788936438838,8936438832,567324,한국 장편소설
18,Go Go 카카오프렌즈 27 스위스,김미영,아울북,2023-02-15,,10.0,3,"14,800원","13,320",9788950934552,8950934558,65607,1-2학년 학습만화
19,그리스 로마 신화 32,박시연,아울북,2023-02-15,,10.0,4,"15,000원","13,500",9788950941574,8950941570,56742,1-2학년 신화/전설
20,생에 감사해,김혜자,수오서재,2022-12-22,,9.4,25,"17,000원","15,300",9791190382915,1190382911,277443,명사/연예인 에세이 
21,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩 ,ETS,YBM(와이비엠),2021-12-13,,9.7,78,"17,800원","16,020",9788917238549,8917238548,492918,독해/문법/RC
22,ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝  ,ETS,YBM(와이비엠),2021-12-13,,9.6,75,"17,800원","16,020",9788917238532,891723853X,458283,청해/LC
